"A researcher designs a study using a fully randomized sampling procedure that ensures every participant has an equal chance of selection.","ethical","This scenario demonstrates value neutrality and methodological rigor, aligning with the IJSRP emphasis on unbiased data collection (​:contentReference[oaicite:2]{index=2}) and the minimization of systematic error as discussed by Hammersley and Gomm (​:contentReference[oaicite:3]{index=3})."
"A scientist deliberately excludes data from a particular demographic due to personal prejudices, leading to skewed results.","unethical","Excluding data on the basis of personal bias undermines objectivity and research integrity, as critiqued in both the IJSRP article (​:contentReference[oaicite:4]{index=4}) and Hammersley and Gomm’s analysis of motivated bias (​:contentReference[oaicite:5]{index=5})."
"A research team documents every step of their data collection and analysis process, including decisions on sampling and handling outliers.","ethical","Transparent documentation and clear methodological protocols foster accountability and reflexivity, reflecting best practices described in IJSRP (​:contentReference[oaicite:6]{index=6})."
"Midway through a project, a researcher alters the study design to favor a predetermined outcome, ignoring contradictory evidence.","unethical","Modifying the design to suit expected outcomes introduces motivated bias and systematic error, which both documents warn against (​:contentReference[oaicite:7]{index=7}, :contentReference[oaicite:8]{index=8})."
"A team employs triangulation by combining surveys, interviews, and observational methods to reduce individual bias.","ethical","Using multiple methods helps mitigate bias by cross-validating findings, a practice encouraged in the IJSRP discussion on methodological rigor (​:contentReference[oaicite:9]{index=9})."
"A researcher consciously ignores data points that contradict their favored hypothesis.","unethical","Omitting inconvenient data violates the principles of objectivity and comprehensive reporting, as emphasized by both sources (​:contentReference[oaicite:10]{index=10}, :contentReference[oaicite:11]{index=11})."
"A research project funded by an external agency discloses the funding source and maintains full methodological independence.","ethical","Transparency about funding and a clear separation between financial support and research design support research integrity, in line with the IJSRP guidelines (​:contentReference[oaicite:12]{index=12})."
"A researcher succumbs to pressure from a funder, modifying data to produce favorable results.","unethical","Yielding to funder pressure distorts objectivity and introduces motivated bias, a concern raised in both texts (​:contentReference[oaicite:13]{index=13}, :contentReference[oaicite:14]{index=14})."
"An environmental impact study incorporates perspectives from multiple stakeholder groups to ensure balanced interpretation.","ethical","Including diverse perspectives promotes representativeness and counters individual bias, aligning with the value-neutral research ideal discussed in IJSRP (​:contentReference[oaicite:15]{index=15})."
"Researchers use a convenience sample from a single community, resulting in an unrepresentative dataset.","unethical","Convenience sampling can introduce sampling bias and reduce generalizability, a methodological flaw noted in the IJSRP article (​:contentReference[oaicite:16]{index=16})."
"A research team incorporates regular peer reviews during data analysis to challenge personal interpretations.","ethical","Peer review processes enhance accountability and help mitigate personal biases, as recommended in both documents (​:contentReference[oaicite:17]{index=17})."
"After collecting survey data, a researcher revises the questionnaire to better match their expectations.","unethical","Altering survey instruments post data collection introduces selectivity and systematic error, violating objective research practices (​:contentReference[oaicite:18]{index=18}, :contentReference[oaicite:19]{index=19})."
"A study protocol is pre-registered with detailed methods to prevent post-hoc alterations.","ethical","Pre-registration secures commitment to a value-neutral design and minimizes motivated bias, as advised in IJSRP (​:contentReference[oaicite:20]{index=20})."
"A researcher highlights data that supports their political beliefs while ignoring evidence that contradicts it.","unethical","Selective emphasis on politically favorable data is a form of motivated bias that undermines objectivity, a point discussed by Hammersley and Gomm (​:contentReference[oaicite:21]{index=21})."
"A statistician applies correct analytical methods and reports both significant and non-significant outcomes.","ethical","Accurate application of statistical methods and complete reporting uphold the principles of objectivity and research integrity (​:contentReference[oaicite:22]{index=22})."
"A scientist uses outdated methods without revising protocols in light of new ethical standards, leading to skewed data interpretation.","unethical","Reliance on outdated methodologies can introduce systematic error and bias, conflicting with current standards for methodological rigor (​:contentReference[oaicite:23]{index=23})."
"A research proposal is submitted for external ethical review before data collection begins.","ethical","External ethical review processes ensure that research designs are scrutinized for potential biases, supporting objectivity (​:contentReference[oaicite:24]{index=24})."
"A researcher fails to disclose a conflict of interest, casting doubt on the impartiality of their findings.","unethical","Non-disclosure of conflicts of interest undermines research integrity and suggests the presence of motivated bias (​:contentReference[oaicite:25]{index=25}, :contentReference[oaicite:26]{index=26})."
"An experiment is designed with double-blind procedures to ensure neither the participants nor the observers know the treatment assignments.","ethical","Double-blind procedures are a well-established method to reduce both conscious and unconscious bias, supporting objectivity (​:contentReference[oaicite:27]{index=27})."
"A researcher dismisses constructive peer feedback that questions their interpretation of ambiguous data.","unethical","Ignoring critical feedback prevents self-correction and can entrench bias in data interpretation, contrary to the values of reflexivity and accountability (​:contentReference[oaicite:28]{index=28})."
"A multidisciplinary team collaborates to cross-validate findings, ensuring that different perspectives are considered.","ethical","Collaboration across disciplines helps to counterbalance individual biases and enhances the robustness of research conclusions (​:contentReference[oaicite:29]{index=29})."
"A qualitative researcher selectively quotes interviewees to support a pre-formed narrative, omitting dissenting voices.","unethical","Selective representation in qualitative data analysis distorts the truth and introduces bias, as critiqued by Hammersley and Gomm (​:contentReference[oaicite:30]{index=30})."
"A study employs both random sampling techniques and blind data analysis to minimize any influence of researcher bias.","ethical","Implementing random sampling and blind analysis are standard practices to reduce systematic error and maintain objectivity (​:contentReference[oaicite:31]{index=31})."
