"A biomedical research project collects genomic data from volunteers only after obtaining explicit, informed consent and applies rigorous anonymization protocols to remove personally identifiable information before analysis.","ethical","This scenario follows best practices in informed consent and data minimization, as emphasized in the Ethics & Big Data document and Floridi et al. (2016), ensuring participants’ privacy is protected through robust anonymization techniques."
"A university study merges publicly available social media data with confidential hospital records without seeking additional consent, thereby increasing the risk of re-identification of individuals.","unethical","By combining distinct data sets without further consent, this practice violates key principles such as transparency and informed consent, and exposes individuals to re-identification risks—a concern highlighted in both Ethics & Big Data and Floridi et al. (2016)."
"A government-funded study collects mobile phone GPS data through an opt-in mechanism and clearly informs participants about their right to withdraw at any time.","ethical","The scenario demonstrates respect for individual autonomy and informed consent, aligning with GDPR guidelines and the ethical recommendations discussed in Aspects of Data Ethics in a Changing World."
"A research team uses machine learning algorithms to predict health outcomes but fails to anonymize the underlying patient data, leaving sensitive personal information vulnerable.","unethical","Neglecting to anonymize data contravenes confidentiality and data minimization principles. This risk of re-identification is a central ethical concern detailed in Ethics & Big Data and further critiqued by Floridi et al. (2016)."
"A multi-institutional project develops clear data governance protocols and enters transparent data sharing agreements among all collaborators, ensuring that personal information remains secure.","ethical","This scenario exemplifies ethical oversight and transparency, as recommended in the documents, by establishing robust governance mechanisms that protect individual privacy during data sharing."
"Researchers collect data from wearable devices without adequately informing participants about the extent of data collection or its potential future uses.","unethical","Failing to provide clear information breaches informed consent and violates privacy expectations, echoing concerns in Floridi et al. (2016) and Aspects of Data Ethics regarding transparency and purpose limitation."
"A clinical trial anonymizes patient records prior to analysis and publishes only aggregated results that do not allow the identification of individual participants.","ethical","This approach adheres to principles of data minimization and anonymization, ensuring confidentiality in line with the guidelines outlined in Ethics & Big Data and GDPR directives."
"A research institution sells de-identified student data to third-party companies without clearly disclosing this practice to the data subjects, leading to potential re-identification when combined with other data.","unethical","Lack of clear disclosure and the risk of re-identification breach both informed consent and transparency requirements, issues extensively discussed in the provided documents."
"An epidemiological study collects only the essential data needed to answer its research question, intentionally avoiding the collection of extraneous details that could compromise participant privacy.","ethical","By practicing data minimization, the study aligns with ethical recommendations in Aspects of Data Ethics, reducing unnecessary risks to privacy."
"A laboratory shares raw experimental data with external collaborators without establishing any data protection agreements, potentially exposing sensitive participant information.","unethical","The absence of proper confidentiality measures and clear agreements violates ethical standards of data protection and transparency, as underscored in Ethics & Big Data."
"A research group employs pseudonymization techniques for survey responses so that even if data are breached, direct identities remain hidden.","ethical","The use of pseudonymization aligns with recommended privacy-preserving techniques highlighted in both Floridi et al. (2016) and the Big Data ethics literature."
"An academic project publishes detailed case studies including identifiable participant information without obtaining explicit consent for disclosure.","unethical","Publishing identifiable data without consent breaches confidentiality and informed consent protocols, directly contravening the ethical frameworks presented in the documents."
"A data science project uses automated data collection tools but implements real-time monitoring to ensure that only authorized data are stored and processed.","ethical","Real-time monitoring and adherence to data minimization protocols reflect an ethical balance between leveraging technology and protecting privacy, as advised in Aspects of Data Ethics."
"Researchers combine open-source data with private research data without assessing the risk of re-identification, potentially compromising participant privacy.","unethical","This practice neglects the risk of unintended data linkage and re-identification, issues that are central to discussions in Ethics & Big Data and Floridi et al. (2016)."
"A social science study obtains explicit consent for both the primary research and any potential secondary data uses, ensuring that participants fully understand how their data will be employed.","ethical","The dual consent process reinforces transparency and informed consent, principles that are crucial in data ethics as detailed in both Floridi et al. (2016) and the GDPR guidelines."
"A research organization collects location data via a mobile app and retains it indefinitely without periodic review or purpose limitation.","unethical","Indefinite data retention without review violates data minimization and purpose limitation principles, as highlighted in the GDPR and ethical discussions in Aspects of Data Ethics."
"A public health study uses anonymized contact tracing data and employs robust encryption methods to secure data transmission.","ethical","The combination of anonymization and encryption effectively protects individual privacy, aligning with ethical standards and best practices described in the provided documents."
"A research team analyzes social media posts using advanced algorithms without informing users, potentially inferring sensitive personal information.","unethical","The lack of transparency and informed consent in using personal data for algorithmic analysis is a breach of privacy norms, as critiqued in Floridi et al. (2016)."
"An interdisciplinary project sets up an independent data ethics board to oversee data collection and processing methods, ensuring ongoing compliance with privacy standards.","ethical","Establishing an ethics board promotes accountability, transparency, and adherence to data privacy principles as recommended in Ethics & Big Data and Aspects of Data Ethics."
"A research study shares raw biometric data with commercial partners without applying any anonymization techniques, risking the identification of individual participants.","unethical","Sharing unprotected biometric data breaches confidentiality and anonymization requirements, key issues highlighted in the ethical frameworks of the documents."
"A collaborative project implements secure data storage solutions and limits access to only essential personnel, in strict accordance with data minimization policies.","ethical","Limiting data access and employing secure storage reflects best practices in confidentiality and ethical oversight as discussed in GDPR and Big Data ethics literature."
"Researchers repurpose previously collected personal data for new studies without obtaining additional consent from the participants.","unethical","Using data beyond its originally consented purpose violates informed consent and secondary use limitations, a concern emphasized in Floridi et al. (2016)."
"A study involving genetic data applies strict de-identification protocols and secures additional ethical approvals before sharing any data externally.","ethical","The implementation of rigorous de-identification and additional oversight ensures compliance with ethical and privacy guidelines, consistent with recommendations in the provided documents."
"An experiment collects data from smart home devices without disclosing potential risks or future applications to the participants.","unethical","Failure to disclose risks and future data use breaches informed consent and transparency, directly conflicting with the ethical principles discussed in Aspects of Data Ethics."
"A research initiative employs strong encryption and data masking techniques when storing sensitive survey responses, thereby mitigating privacy risks.","ethical","Using encryption and masking reinforces confidentiality and data protection measures, echoing the ethical guidelines laid out in GDPR and Big Data ethics discussions."
