"A research team in a low-resource setting holds a community meeting in the local language to explain a new health study and then obtains individual verbal informed consent, ensuring that all participants understand the study purpose.","ethical","This scenario reflects best practices outlined in the Field Training Guide, where investigators are advised to communicate in culturally appropriate ways and obtain informed consent through clear, accessible processes (​). It also aligns with the community engagement framework emphasizing respect for persons and transparency (​)."
"A researcher secretly collects health data from patients without obtaining any form of consent, arguing that the data is for scientific purposes only.","unethical","By bypassing the informed consent process, this approach violates the ethical principles of respect for persons and autonomy. The Field Training Guide explicitly stresses the need for proper consent, and the Human Subjects Protections Framework condemns any covert data collection (​; 
)."
"Field workers record sensitive personal information on paper forms and leave them unsecured in a public area of the research facility.","unethical","Failing to safeguard confidentiality breaches both the ethical duty to protect participants and scientific integrity. The Field Training Guide emphasizes secure data handling, and the framework on human subjects protection highlights the importance of confidentiality (​)."
"A study distributes consent forms translated into the local dialect and conducts a training session for data collectors to ensure they understand ethical requirements.","ethical","The scenario adheres to the ethical recommendations of tailoring communication to the local context and providing proper training, as advocated in the Field Training Guide. It supports culturally competent research practices (​)."
"A community-based participatory research project involves local leaders in the design and implementation of a clinical trial on maternal health.","ethical","Involving community leaders and establishing partnerships reflects the principles of community engagement and social justice described in the Human Subjects Protections Framework, promoting mutual respect and equitable benefit distribution (​)."
"Researchers conduct a study in a vulnerable community without performing a proper risk assessment or seeking community input, leading to potential exploitation.","unethical","The absence of risk assessment and community engagement violates ethical norms that require beneficence and respect for community values. Both documents stress the need for tailored ethical procedures in vulnerable settings (​; 
)."
"In a clinical trial, investigators fail to provide complete information about potential side effects during the consent process, leaving participants uninformed.","unethical","Incomplete disclosure undermines the principle of informed consent and breaches the ethical obligation to fully inform participants about risks. The Field Training Guide and related frameworks clearly require transparency in risk communication (​)."
"A study adapts its consent procedures by using pictorial aids and interactive sessions to ensure comprehension among participants with low literacy levels.","ethical","Adapting consent procedures to the local educational context reflects cultural competence and respect for persons, as recommended by the Field Training Guide. This approach also aligns with the human subjects protection framework by enhancing participant understanding (​)."
"A researcher deliberately withholds the true purpose of a study to increase enrollment, misleading participants about the nature of the research.","unethical","Misleading participants and concealing the study's true purpose breaches ethical norms of informed consent and transparency. Such deceptive practices contradict both the Field Training Guide and the community-engaged research framework (​; 
)."
"A clinical study implements robust data security measures, including encrypted digital records and restricted access, to protect participant information.","ethical","Ensuring confidentiality through secure data management is a core principle of ethical research as detailed in the Field Training Guide, thereby safeguarding participant privacy and upholding scientific integrity (​)."
